duracion_estadia,gasto_total_pesos,motivo,alojamiento
7.0,3000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
5.0,250000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,2500000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
5.0,600000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,1000000.0,i. Otro.,a. Hotel 
5.0,4000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
8.0,1500000.0,a. Vacaciones/recreación/Ocio ,d. Inmueble de alquiler (pagos por plataforma dig)
8.0,1500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,5000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
6.0,3000000.0,a. Vacaciones/recreación/Ocio ,f. Otro
45.0,25000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,5000000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,3000000.0,g. Negocios y motivos profesionales,a. Hotel 
5.0,2000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
8.0,5000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
6.0,4000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
6.0,800000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
6.0,2000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
8.0,1500000.0,a. Vacaciones/recreación/Ocio ,d. Inmueble de alquiler (pagos por plataforma dig)
50.0,8000000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
6.0,5000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
5.0,4000000.0,a. Vacaciones/recreación/Ocio ,d. Inmueble de alquiler (pagos por plataforma dig)
7.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
6.0,500000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,2000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
15.0,2000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
8.0,2000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
7.0,3200000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
6.0,1000000.0,a. Vacaciones/recreación/Ocio ,d. Inmueble de alquiler (pagos por plataforma dig)
6.0,3000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
7.0,4000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
7.0,750000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
7.0,2500000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
4.0,800000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,2000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
4.0,500000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
15.0,500000.0,h. Trabajo remunerado en otra ciudad,"e. Casa propia, de familiares o amigos (sin pago)"
6.0,3500000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
6.0,750000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,3000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
10.0,700000.0,h. Trabajo remunerado en otra ciudad,"e. Casa propia, de familiares o amigos (sin pago)"
15.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
40.0,4500000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
15.0,5000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
5.0,1500000.0,a. Vacaciones/recreación/Ocio ,c. Apartahotel
8.0,3000000.0,a. Vacaciones/recreación/Ocio ,d. Inmueble de alquiler (pagos por plataforma dig)
4.0,300000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
8.0,600000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
7.0,2500000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
45.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,2000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
5.0,3000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
7.0,3000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
7.0,2500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,900000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
12.0,3500000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
5.0,1200000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
1.0,100000.0,c. Educación y formación,c. Apartahotel
4.0,1000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
1.0,1000000.0,b. Visita a familiares y amigos,a. Hotel 
8.0,1500000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
15.0,3000000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
15.0,1500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,100000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
4.0,400000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,300000.0,h. Trabajo remunerado en otra ciudad,b. Hostal
7.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,1500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
8.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
8.0,2000000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
7.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
15.0,1200000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,1500000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,3000000.0,b. Visita a familiares y amigos,a. Hotel 
2.0,500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,500000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
20.0,2500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,250000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,1500000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
4.0,1000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
5.0,600000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,500000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
4.0,2000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
4.0,3000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
60.0,3000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,2000000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,500000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,400000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
2.0,500000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
2.0,450000.0,a. Vacaciones/recreación/Ocio ,d. Inmueble de alquiler (pagos por plataforma dig)
14.0,4000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
10.0,5000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
30.0,2000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
4.0,2000000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
8.0,750000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,800000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,1000000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,530000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
7.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
1.0,300000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
2.0,700000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
6.0,1000000.0,b. Visita a familiares y amigos,b. Hostal
7.0,1000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
4.0,1200000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
8.0,5000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,2500000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
3.0,700000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,700000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
2.0,130000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,1200000.0,a. Vacaciones/recreación/Ocio ,c. Apartahotel
5.0,1000000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,4000000.0,g. Negocios y motivos profesionales,a. Hotel 
3.0,2000000.0,g. Negocios y motivos profesionales,a. Hotel 
7.0,350000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
1.0,800000.0,h. Trabajo remunerado en otra ciudad,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,220000.0,h. Trabajo remunerado en otra ciudad,b. Hostal
3.0,250000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
6.0,12000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,200000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,680000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,500000.0,h. Trabajo remunerado en otra ciudad,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,500000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
5.0,3000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
2.0,200000.0,b. Visita a familiares y amigos,a. Hotel 
3.0,400000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,1000000.0,h. Trabajo remunerado en otra ciudad,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,600000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,200000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,1000000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
15.0,3000000.0,g. Negocios y motivos profesionales,a. Hotel 
8.0,2000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,500000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
1.0,500000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
8.0,2500000.0,b. Visita a familiares y amigos,a. Hotel 
7.0,2000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,1500000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
12.0,400000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,250000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,2000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,1000000.0,b. Visita a familiares y amigos,a. Hotel 
6.0,850000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,800000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,100000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
3.0,500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
6.0,1200000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,800000.0,g. Negocios y motivos profesionales,a. Hotel 
2.0,800000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
2.0,800000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
3.0,2000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
5.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,3000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
4.0,1500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
6.0,2000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,600000.0,b. Visita a familiares y amigos,f. Otro
8.0,1000000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
3.0,500000.0,h. Trabajo remunerado en otra ciudad,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,300000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,200000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,180000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,1000000.0,b. Visita a familiares y amigos,a. Hotel 
4.0,800000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
15.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,580000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
12.0,1000000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,2000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
3.0,160000.0,h. Trabajo remunerado en otra ciudad,f. Otro
4.0,600000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
1.0,800000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
19.0,2500000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
6.0,200000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,280000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,700000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
4.0,1000000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
3.0,500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,800000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
1.0,160000.0,h. Trabajo remunerado en otra ciudad,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,5000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
3.0,2000000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
10.0,2000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
17.0,20000000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
14.0,630000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,650000.0,a. Vacaciones/recreación/Ocio ,d. Inmueble de alquiler (pagos por plataforma dig)
9.0,3000000.0,a. Vacaciones/recreación/Ocio ,b. Hostal
2.0,300000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
15.0,300000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
8.0,2000000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,1000000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
4.0,550000.0,g. Negocios y motivos profesionales,a. Hotel 
15.0,200000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,300.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
7.0,2000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
3.0,500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,500000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
7.0,800000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,3000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,500000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,600000.0,i. Otro.,a. Hotel 
2.0,300000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,800000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
6.0,300000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,600000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,100000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
60.0,1500000.0,a. Vacaciones/recreación/Ocio ,c. Apartahotel
2.0,200000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,1000000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,300000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
3.0,320000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,1200000.0,b. Visita a familiares y amigos,c. Apartahotel
6.0,600000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
8.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
8.0,2000000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
8.0,300000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,700000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
30.0,500000.0,h. Trabajo remunerado en otra ciudad,f. Otro
2.0,300000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
4.0,500000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
4.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,200000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,700000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
6.0,600000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,300000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
11.0,1000000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,2000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
2.0,60000.0,h. Trabajo remunerado en otra ciudad,b. Hostal
5.0,700000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
12.0,1500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,2000000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,800000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,500.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
10.0,2200000.0,a. Vacaciones/recreación/Ocio ,b. Hostal
1.0,200000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
3.0,350000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,600000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
4.0,1500000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
3.0,200000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
30.0,3000000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,300000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
7.0,2500000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,520000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
20.0,300000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
6.0,600000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,260000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,600000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,600000.0,g. Negocios y motivos profesionales,a. Hotel 
4.0,1000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
7.0,300000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,320000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
1.0,1000000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
2.0,200000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,2000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
2.0,200000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
6.0,3000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
3.0,2000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
2.0,300000.0,g. Negocios y motivos profesionales,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,300000.0,g. Negocios y motivos profesionales,a. Hotel 
20.0,1000000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,3000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
8.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,500000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,600000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
40.0,1000000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
4.0,400000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
7.0,500000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
5.0,800000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,800000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,600000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
8.0,3000000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,2000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
3.0,500000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
6.0,2000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
1.0,500000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
2.0,200000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
2.0,1000000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
3.0,2000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
4.0,2000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
4.0,500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
15.0,120000.0,h. Trabajo remunerado en otra ciudad,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,3000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
5.0,1000000.0,h. Trabajo remunerado en otra ciudad,b. Hostal
15.0,3000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
2.0,500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,800000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
8.0,2000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
5.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,500000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
4.0,400000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
5.0,2000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
15.0,5000000.0,a. Vacaciones/recreación/Ocio ,d. Inmueble de alquiler (pagos por plataforma dig)
12.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,400000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
10.0,700000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
9.0,500000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,400000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,2000000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
